Purple Coordinates;Orange Coordinates
(1194, 65);(867, 597)
(1194, 65);(867, 596)
(1196, 65);(866, 595)
(1196, 65);(866, 597)
(1196, 65);(866, 597)
(1194, 65);(870, 599)
(1194, 65);(870, 599)
(1194, 65);(870, 599)
(1192, 65);(868, 599)
(1193, 65);(868, 599)
(1194, 65);(868, 599)
(1194, 65);(876, 601)
(1194, 65);(870, 599)
(1194, 65);(871, 597)
(1194, 65);(871, 597)
(1194, 65);(871, 597)
(1194, 65);(871, 597)
(1194, 65);(868, 599)
(1194, 65);(868, 599)
(1197, 61);(867, 599)
(1194, 65);(868, 599)
(1194, 65);(868, 599)
(1194, 67);(872, 598)
(1194, 68);(872, 598)
(1196, 68);(880, 598)
(1196, 70);(880, 598)
(1196, 73);(870, 597)
(1196, 73);(870, 597)
(1196, 73);(870, 597)
(1196, 73);(869, 597)
(1196, 73);(869, 597)
(1196, 73);(867, 597)
(1196, 73);(864, 598)
(1196, 73);(863, 598)
(1196, 73);(863, 599)
(1196, 73);(872, 600)
(1198, 74);(874, 600)
(1198, 73);(869, 601)
(1198, 73);(870, 601)
(1198, 74);(870, 601)
(1198, 74);(870, 601)
(1198, 74);(870, 601)
(1198, 74);(870, 601)
(1198, 72);(870, 601)
(1200, 71);(869, 599)
(1198, 71);(870, 599)
(1198, 71);(870, 599)
(1200, 71);(870, 599)
(1202, 67);(871, 599)
(1200, 69);(875, 595)
(1198, 69);(870, 599)
(1198, 69);(870, 599)
(1198, 69);(868, 600)
(1198, 69);(868, 600)
(1198, 69);(868, 600)
(1198, 69);(868, 601)
(1198, 69);(868, 601)
(1199, 69);(868, 601)
(1199, 69);(869, 601)
(1199, 69);(869, 601)
(1200, 69);(869, 601)
(1200, 71);(868, 601)
(1198, 66);(866, 601)
(1200, 71);(866, 601)
(1199, 72);(866, 601)
(1200, 71);(872, 598)
(1202, 70);(872, 598)
(1200, 70);(870, 602)
(1200, 69);(870, 602)
(1200, 70);(871, 602)
(1200, 70);(872, 602)
(1198, 73);(876, 602)
(1197, 64);(876, 606)
(1192, 66);(877, 606)
(1192, 66);(877, 607)
(1192, 73);(879, 607)
(1193, 73);(879, 608)
(1193, 75);(880, 608)
(1194, 75);(880, 608)
(1195, 75);(879, 608)
(1194, 75);(879, 607)
(1194, 63);(878, 605)
(1196, 69);(877, 604)
(1195, 61);(877, 604)
(1196, 68);(873, 603)
(1196, 67);(872, 602)
(1199, 62);(872, 602)
(1196, 58);(872, 601)
(1194, 65);(873, 601)
(1194, 65);(873, 601)
(1194, 58);(879, 602)
(1192, 58);(879, 603)
(1192, 58);(881, 603)
(1192, 57);(881, 603)
(1192, 65);(881, 604)
(1190, 58);(881, 604)
(1192, 58);(883, 605)
(1194, 60);(883, 605)
(1190, 58);(883, 605)
(1192, 65);(879, 605)
(1190, 58);(876, 605)
(1188, 65);(874, 605)
(1188, 65);(874, 606)
(1188, 65);(874, 607)
(1188, 72);(875, 607)
(1188, 75);(879, 607)
(1197, 76);(887, 607)
(1198, 77);(887, 607)
(1196, 75);(887, 607)
(1195, 83);(889, 607)
(1195, 83);(889, 607)
(1196, 84);(887, 607)
(1197, 72);(886, 607)
(1194, 67);(879, 604)
(1197, 60);(875, 602)
(1194, 58);(875, 601)
(1194, 65);(875, 601)
(1194, 64);(874, 601)
(1194, 64);(874, 601)
(1194, 61);(873, 600)
(1196, 59);(871, 600)
(1194, 60);(869, 600)
(1194, 60);(869, 600)
(1194, 59);(867, 599)
(1194, 59);(866, 599)
(1194, 57);(866, 599)
(1194, 57);(867, 599)
(1193, 57);(868, 599)
(1193, 57);(868, 599)
(1194, 57);(868, 599)
(1194, 52);(868, 600)
(1194, 60);(868, 600)
(1196, 54);(867, 600)
(1196, 54);(867, 600)
(1196, 54);(864, 601)
(1196, 54);(864, 599)
(1196, 54);(864, 599)
(1196, 54);(864, 599)
(1196, 54);(866, 599)
(1196, 60);(867, 599)
(1196, 60);(867, 599)
(1198, 59);(867, 599)
(1198, 61);(868, 600)
(1204, 65);(869, 600)
(1204, 66);(875, 600)
(1204, 67);(875, 601)
(1204, 68);(875, 601)
(1203, 69);(876, 601)
(1203, 70);(877, 602)
(1202, 70);(877, 602)
(1200, 70);(877, 602)
(1198, 71);(877, 602)
(1198, 67);(877, 602)
(1197, 67);(877, 603)
(1197, 67);(880, 603)
(1197, 67);(882, 603)
(1197, 67);(884, 603)
(1197, 67);(884, 603)
(1197, 67);(884, 603)
(1197, 67);(884, 603)
(1196, 63);(884, 601)
(1197, 52);(885, 601)
(1192, 57);(885, 601)
(1190, 55);(885, 602)
(1190, 47);(885, 602)
(1188, 53);(885, 602)
(1188, 53);(886, 599)
(1188, 53);(887, 599)
(1188, 53);(887, 599)
(1188, 53);(887, 599)
(1188, 53);(887, 599)
(1186, 53);(885, 601)
(1186, 53);(883, 601)
(1188, 53);(883, 601)
(1186, 54);(880, 599)
(1186, 55);(880, 599)
(1186, 55);(880, 598)
(1186, 55);(878, 597)
(1186, 55);(878, 597)
(1186, 55);(878, 597)
(1186, 55);(879, 596)
(1186, 55);(879, 596)
(1186, 55);(880, 596)
(1186, 55);(880, 599)
(1186, 56);(878, 599)
(1186, 50);(875, 599)
(1186, 50);(875, 599)
(1184, 57);(875, 599)
(1184, 58);(875, 599)
(1184, 58);(877, 599)
(1184, 58);(877, 599)
(1182, 52);(878, 598)
(1182, 58);(877, 598)
(1182, 58);(878, 598)
(1182, 58);(878, 599)
(1182, 58);(877, 600)
(1184, 58);(874, 601)
(1184, 58);(874, 601)
(1184, 58);(873, 601)
(1182, 57);(873, 600)
(1182, 57);(873, 600)
(1182, 57);(873, 598)
(1182, 50);(882, 598)
(1182, 50);(876, 597)
(1182, 50);(884, 598)
(1181, 50);(884, 598)
(1180, 50);(884, 598)
(1182, 50);(881, 594)
(1180, 50);(882, 594)
(1180, 50);(882, 594)
(1182, 57);(882, 593)
(1182, 57);(879, 597)
(1183, 55);(879, 597)
(1183, 55);(879, 596)
(1180, 57);(879, 597)
(1180, 57);(880, 597)
(1182, 57);(880, 597)
(1182, 57);(878, 596)
(1182, 57);(878, 596)
(1182, 57);(878, 596)
(1182, 57);(877, 597)
(1182, 57);(877, 597)
(1182, 57);(877, 597)
(1182, 57);(877, 597)
(1180, 57);(877, 598)
(1180, 57);(877, 598)
(1180, 57);(876, 596)
(1182, 57);(874, 597)
(1182, 57);(874, 597)
(1182, 57);(874, 597)
(1182, 50);(875, 597)
(1182, 50);(877, 596)
(1180, 50);(877, 596)
(1180, 57);(883, 593)
(1180, 57);(884, 593)
(1180, 57);(884, 593)
(1180, 58);(884, 593)
(1180, 52);(884, 593)
(1180, 52);(884, 593)
(1180, 51);(885, 593)
(1180, 52);(884, 593)
(1180, 52);(884, 593)
(1180, 52);(884, 593)
(1178, 57);(884, 593)
(1178, 57);(884, 593)
(1178, 57);(884, 593)
(1178, 57);(884, 593)
(1178, 57);(884, 593)
(1178, 57);(884, 593)
(1180, 52);(884, 593)
(1181, 52);(884, 593)
(1184, 55);(885, 596)
(1184, 55);(878, 596)
(1184, 55);(878, 596)
(1184, 55);(878, 596)
(1180, 52);(878, 596)
(1180, 52);(878, 596)
(1183, 55);(884, 592)
(1179, 52);(884, 592)
(1179, 52);(887, 596)
(1183, 55);(887, 596)
(1180, 58);(884, 592)
(1183, 55);(884, 592)
(1183, 55);(884, 592)
(1178, 52);(884, 592)
(1178, 52);(887, 595)
(1178, 59);(887, 596)
(1178, 59);(887, 596)
(1178, 59);(887, 596)
(1176, 56);(884, 593)
(1180, 59);(884, 593)
(1180, 52);(884, 593)
(1183, 55);(884, 593)
(1183, 55);(884, 593)
(1180, 59);(885, 594)
(1182, 56);(887, 596)
(1180, 59);(887, 596)
(1180, 59);(887, 596)
(1180, 59);(887, 596)
(1180, 59);(887, 596)
(1180, 59);(884, 593)
(1180, 59);(882, 593)
(1180, 59);(882, 593)
(1180, 59);(882, 593)
(1180, 59);(882, 592)
(1177, 61);(882, 592)
(1177, 61);(882, 592)
(1178, 60);(884, 592)
(1178, 59);(884, 592)
(1178, 59);(884, 592)
(1178, 59);(884, 591)
(1178, 59);(883, 591)
(1178, 59);(883, 591)
(1178, 59);(883, 591)
(1178, 57);(885, 591)
(1178, 57);(887, 596)
(1178, 57);(887, 596)
(1178, 52);(885, 593)
(1178, 52);(885, 593)
(1178, 52);(886, 593)
(1178, 59);(886, 592)
(1178, 59);(886, 592)
(1178, 59);(881, 596)
(1178, 59);(886, 592)
(1180, 59);(881, 594)
(1178, 52);(882, 592)
(1178, 52);(886, 589)
(1178, 52);(886, 589)
(1178, 52);(885, 591)
(1178, 52);(885, 591)
(1180, 52);(880, 595)
(1180, 52);(885, 591)
(1176, 62);(885, 591)
(1176, 62);(879, 595)
(1176, 56);(878, 595)
(1178, 61);(877, 595)
(1178, 59);(876, 595)
(1180, 59);(876, 595)
(1180, 59);(876, 595)
(1180, 58);(876, 595)
(1180, 52);(876, 595)
(1180, 52);(876, 595)
(1180, 59);(878, 595)
(1180, 59);(878, 595)
(1180, 59);(879, 595)
(1180, 59);(879, 595)
(1180, 52);(880, 596)
(1180, 52);(880, 596)
(1180, 52);(880, 596)
(1180, 52);(880, 596)
(1180, 52);(880, 596)
(1180, 52);(880, 596)
(1179, 52);(879, 596)
(1179, 52);(880, 596)
(1179, 52);(880, 596)
(1179, 52);(880, 596)
(1178, 52);(880, 596)
(1178, 52);(880, 596)
(1178, 52);(878, 598)
(1178, 52);(878, 598)
(1179, 52);(878, 598)
(1179, 52);(878, 597)
(1180, 59);(878, 597)
(1180, 59);(878, 595)
(1180, 59);(877, 595)
(1178, 52);(874, 596)
(1178, 52);(874, 596)
(1178, 52);(874, 596)
(1178, 52);(874, 596)
(1178, 52);(877, 596)
(1178, 54);(877, 596)
(1178, 54);(878, 596)
(1178, 54);(879, 596)
(1178, 54);(879, 596)
(1178, 60);(885, 592)
(1178, 54);(885, 592)
(1178, 54);(885, 592)
(1178, 54);(885, 592)
(1178, 54);(885, 592)
(1181, 57);(885, 592)
(1181, 57);(878, 596)
(1181, 57);(874, 596)
(1176, 54);(874, 596)
(1176, 54);(874, 596)
(1176, 60);(877, 596)
(1176, 56);(878, 596)
(1176, 56);(878, 596)
(1180, 59);(878, 596)
(1176, 56);(878, 596)
(1176, 56);(877, 596)
(1176, 56);(877, 596)
(1176, 56);(878, 596)
(1176, 56);(878, 596)
(1183, 59);(879, 596)
(1183, 59);(879, 596)
(1183, 59);(879, 596)
(1178, 56);(879, 596)
(1181, 59);(885, 592)
(1181, 59);(885, 592)
(1178, 61);(885, 592)
(1178, 61);(885, 592)
(1178, 61);(885, 592)
(1178, 61);(885, 592)
(1178, 61);(879, 596)
(1178, 62);(879, 596)
(1178, 63);(879, 596)
(1178, 63);(879, 596)
(1178, 63);(878, 596)
(1178, 63);(877, 595)
(1178, 63);(877, 595)
(1178, 63);(877, 595)
(1178, 63);(877, 595)
(1179, 59);(882, 592)
(1179, 59);(878, 596)
(1178, 59);(878, 596)
(1178, 59);(878, 596)
(1178, 59);(878, 596)
(1180, 59);(878, 596)
(1180, 59);(878, 596)
(1180, 59);(878, 596)
(1180, 59);(878, 596)
(1180, 59);(878, 597)
(1180, 52);(878, 597)
(1180, 52);(878, 597)
(1180, 52);(878, 597)
(1180, 52);(878, 597)
(1180, 52);(878, 597)
(1180, 52);(878, 597)
(1180, 52);(878, 597)
(1180, 52);(878, 597)
(1180, 52);(878, 597)
(1180, 52);(882, 592)
(1180, 52);(882, 592)
(1180, 52);(882, 592)
(1180, 52);(882, 592)
(1180, 52);(882, 593)
(1180, 52);(882, 593)
(1180, 52);(882, 593)
(1180, 59);(882, 593)
(1180, 59);(882, 593)
(1180, 59);(882, 593)
(1180, 59);(882, 593)
(1180, 59);(882, 593)
(1180, 59);(882, 593)
(1180, 59);(882, 593)
(1180, 59);(882, 593)
(1180, 59);(882, 593)
(1180, 59);(882, 593)
(1180, 59);(882, 593)
(1180, 59);(882, 593)
(1180, 59);(882, 593)
(1180, 59);(882, 593)
(1180, 59);(882, 593)
(1180, 59);(878, 596)
(1180, 59);(878, 596)
(1180, 59);(878, 596)
(1180, 59);(878, 596)
(1180, 59);(878, 596)
(1180, 59);(878, 596)
(1180, 59);(878, 596)
(1180, 59);(878, 596)
(1180, 59);(878, 596)
(1180, 59);(878, 596)
(1180, 59);(878, 596)
(1180, 59);(877, 596)
(1180, 59);(877, 596)
(1180, 59);(878, 596)
(1180, 52);(878, 596)
(1180, 52);(878, 596)
(1180, 52);(878, 596)
(1180, 52);(878, 596)
(1180, 52);(878, 596)
(1180, 60);(877, 596)
(1180, 60);(877, 596)
(1180, 60);(877, 596)
(1180, 60);(877, 596)
(1180, 60);(877, 596)
(1180, 60);(877, 596)
(1180, 60);(878, 596)
(1180, 60);(878, 596)
(1180, 60);(878, 596)
(1180, 60);(878, 596)
(1180, 60);(878, 596)
(1180, 60);(878, 596)
(1180, 60);(878, 596)
(1180, 60);(878, 596)
(1180, 60);(878, 596)
(1180, 60);(878, 597)
(1180, 60);(878, 597)
(1180, 60);(878, 597)
(1180, 60);(878, 597)
(1180, 60);(878, 597)
(1180, 60);(878, 597)
(1180, 60);(878, 597)
(1180, 60);(878, 597)
(1180, 60);(878, 597)
(1180, 60);(878, 596)
(1179, 60);(878, 596)
(1179, 60);(878, 596)
(1179, 60);(878, 596)
(1179, 60);(878, 596)
(1179, 60);(878, 596)
(1179, 60);(878, 596)
(1179, 60);(878, 596)
(1179, 60);(878, 596)
(1179, 60);(878, 596)
(1179, 60);(878, 596)
(1179, 60);(878, 596)
(1179, 60);(878, 596)
(1179, 60);(878, 596)
(1180, 59);(878, 596)
(1180, 60);(878, 596)
(1180, 60);(877, 596)
(1180, 60);(875, 596)
(1180, 60);(875, 596)
(1180, 60);(875, 596)
(1180, 60);(875, 596)
(1180, 60);(875, 596)
(1180, 60);(875, 596)
(1180, 60);(875, 596)
(1180, 60);(875, 596)
(1180, 60);(875, 596)
(1180, 60);(875, 596)
(1180, 60);(875, 596)
(1180, 60);(875, 596)
(1180, 60);(877, 596)
(1180, 60);(877, 596)
(1178, 59);(877, 596)
(1178, 59);(877, 596)
(1178, 59);(877, 596)
(1178, 59);(877, 596)
(1178, 59);(877, 596)
(1178, 59);(877, 596)
(1178, 59);(877, 596)
(1178, 59);(877, 596)
(1178, 59);(877, 596)
(1178, 59);(877, 596)
(1178, 59);(877, 596)
(1178, 59);(877, 596)
(1178, 59);(877, 596)
(1178, 59);(877, 596)
(1178, 59);(877, 596)
(1180, 59);(877, 596)
(1180, 59);(877, 596)
(1180, 59);(877, 596)
(1180, 59);(877, 596)
(1180, 59);(877, 596)
(1180, 59);(877, 596)
(1180, 59);(877, 596)
(1180, 59);(877, 596)
(1180, 59);(877, 596)
(1180, 59);(877, 596)
(1180, 59);(877, 596)
(1180, 59);(877, 596)
(1180, 59);(877, 596)
(1180, 59);(877, 596)
(1180, 59);(877, 596)
(1180, 59);(877, 596)
(1180, 59);(877, 597)
(1180, 59);(877, 597)
(1180, 59);(877, 597)
(1180, 59);(877, 597)
(1180, 59);(877, 597)
(1180, 59);(877, 597)
(1180, 59);(877, 597)
(1180, 59);(877, 597)
(1180, 59);(877, 597)
(1180, 59);(877, 596)
(1180, 59);(877, 597)
(1180, 59);(877, 597)
(1180, 59);(877, 596)
(1180, 59);(877, 596)
(1178, 59);(877, 596)
(1178, 59);(877, 596)
(1178, 59);(877, 596)
(1178, 59);(877, 596)
(1178, 59);(877, 596)
(1178, 59);(877, 596)
(1178, 59);(877, 596)
(1178, 59);(877, 596)
(1178, 59);(877, 596)
(1178, 59);(877, 596)
(1178, 59);(877, 595)
(1178, 64);(880, 591)
(1178, 58);(876, 594)
(1178, 65);(878, 594)
(1178, 65);(878, 594)
(1178, 65);(878, 594)
(1178, 65);(879, 594)
(1178, 65);(879, 594)
(1178, 65);(879, 594)
(1178, 65);(882, 590)
(1178, 65);(882, 590)
(1178, 65);(882, 590)
(1178, 65);(882, 590)
(1178, 65);(882, 590)
(1178, 65);(879, 594)
(1178, 65);(879, 594)
(1178, 65);(879, 594)
(1178, 65);(879, 594)
(1178, 65);(879, 594)
(1181, 61);(879, 594)
(1178, 66);(875, 595)
(1178, 66);(875, 595)
(1178, 66);(875, 595)
(1178, 66);(875, 595)
(1178, 66);(875, 595)
(1178, 66);(875, 595)
(1178, 66);(876, 595)
(1178, 66);(876, 595)
(1178, 66);(876, 595)
(1178, 66);(876, 595)
(1178, 66);(876, 595)
(1178, 66);(876, 595)
(1178, 66);(875, 595)
(1178, 66);(875, 595)
(1178, 66);(875, 595)
(1178, 58);(875, 595)
(1178, 58);(875, 595)
(1178, 58);(876, 595)
(1178, 58);(876, 595)
(1178, 58);(876, 595)
(1178, 58);(876, 595)
(1178, 58);(876, 595)
(1178, 58);(876, 595)
(1178, 58);(876, 595)
(1178, 58);(876, 595)
(1178, 58);(876, 595)
(1178, 58);(876, 595)
(1178, 58);(876, 595)
(1181, 61);(876, 595)
(1178, 58);(875, 595)
(1178, 66);(875, 595)
(1178, 66);(875, 595)
(1178, 66);(875, 595)
(1178, 66);(875, 595)
(1178, 66);(875, 595)
(1178, 66);(875, 595)
(1178, 66);(875, 595)
(1178, 66);(875, 595)
(1178, 66);(875, 595)
(1178, 58);(875, 595)
(1178, 58);(875, 595)
(1178, 58);(875, 595)
(1178, 58);(876, 595)
(1178, 58);(876, 595)
(1178, 58);(876, 595)
(1178, 58);(876, 595)
(1178, 58);(876, 595)
(1178, 58);(876, 595)
(1178, 58);(876, 595)
(1178, 58);(876, 595)
(1178, 58);(876, 595)
(1178, 58);(876, 595)
(1178, 58);(876, 595)
(1178, 58);(876, 595)
(1178, 58);(876, 595)
(1178, 58);(875, 595)
(1178, 58);(876, 595)
(1178, 58);(875, 595)
(1178, 58);(875, 595)
(1178, 58);(875, 595)
(1178, 66);(875, 595)
(1178, 66);(875, 595)
(1178, 66);(875, 595)
(1178, 66);(875, 595)
(1178, 66);(875, 595)
(1178, 66);(875, 595)
(1178, 66);(875, 595)
(1178, 66);(875, 595)
(1178, 66);(880, 591)
(1178, 66);(880, 591)
(1178, 66);(880, 591)
(1178, 66);(880, 591)
(1178, 66);(880, 591)
(1178, 66);(880, 591)
(1178, 58);(880, 591)
(1178, 58);(875, 595)
(1178, 58);(875, 595)
(1178, 58);(875, 595)
(1178, 58);(875, 595)
(1178, 58);(875, 595)
(1178, 58);(875, 595)
(1178, 58);(875, 595)
(1178, 58);(875, 595)
(1178, 58);(875, 595)
(1178, 58);(876, 595)
(1178, 58);(876, 595)
(1178, 58);(876, 595)
(1178, 58);(876, 595)
(1178, 58);(876, 595)
(1178, 58);(876, 595)
(1178, 58);(876, 595)
(1178, 58);(876, 595)
(1178, 58);(876, 595)
(1178, 58);(876, 595)
(1178, 58);(876, 595)
(1178, 58);(876, 595)
(1178, 65);(876, 595)
(1178, 65);(876, 595)
(1178, 58);(876, 595)
(1178, 58);(876, 595)
(1178, 58);(876, 595)
(1178, 58);(876, 595)
(1178, 58);(876, 595)
(1178, 58);(876, 595)
(1178, 58);(876, 595)
(1178, 58);(876, 595)
(1178, 58);(876, 595)
(1178, 58);(876, 595)
(1178, 58);(876, 595)
(1178, 58);(876, 595)
(1178, 58);(876, 595)
(1178, 58);(876, 595)
(1178, 58);(876, 595)
(1178, 58);(876, 595)
(1178, 58);(876, 595)
(1178, 58);(876, 595)
(1178, 58);(876, 595)
(1178, 58);(876, 595)
(1178, 58);(876, 595)
(1178, 58);(876, 595)
(1178, 66);(879, 591)
(1178, 66);(879, 591)
(1178, 66);(879, 591)
(1178, 66);(879, 591)
(1178, 66);(879, 591)
(1178, 66);(879, 591)
(1178, 58);(879, 591)
(1178, 58);(879, 591)
(1178, 58);(879, 591)
(1178, 58);(879, 591)
(1178, 58);(879, 591)
(1178, 58);(879, 591)
(1178, 58);(879, 591)
(1178, 58);(879, 591)
(1178, 58);(879, 591)
(1178, 58);(875, 594)
(1178, 58);(875, 594)
(1178, 58);(875, 594)
(1178, 58);(875, 594)
(1178, 58);(875, 594)
(1178, 58);(875, 594)
(1178, 58);(879, 591)
(1178, 58);(879, 591)
(1178, 58);(879, 591)
(1178, 58);(879, 591)
(1178, 58);(879, 591)
(1178, 58);(879, 591)
(1178, 58);(879, 591)
(1178, 58);(879, 591)
(1178, 58);(879, 591)
(1178, 66);(879, 595)
(1178, 66);(879, 595)
(1178, 66);(879, 595)
(1178, 66);(879, 595)
(1178, 66);(879, 595)
(1178, 66);(879, 595)
(1178, 66);(879, 595)
(1178, 66);(879, 595)
(1178, 66);(879, 595)
(1178, 66);(879, 595)
(1178, 66);(878, 594)
(1178, 66);(878, 594)
(1178, 66);(878, 594)
(1178, 66);(878, 594)
(1178, 66);(878, 594)
(1176, 66);(882, 591)
(1176, 66);(882, 591)
(1176, 66);(882, 591)
(1176, 66);(882, 591)
(1176, 66);(882, 591)
(1176, 66);(882, 591)
(1176, 66);(882, 591)
(1176, 66);(882, 591)
(1176, 66);(882, 591)
(1176, 66);(882, 591)
(1176, 66);(878, 595)
(1176, 66);(878, 595)
(1176, 66);(878, 595)
(1176, 66);(878, 595)
(1176, 66);(878, 595)
(1178, 58);(882, 591)
